id,order_no,user_id,station_id,pile_id,status,unit_price,start_soc,battery_capacity_kwh,target_soc,reserve_time,start_time,end_time,duration_seconds,kwh,amount,pay_request_id,created_at,updated_at,dq_tag
1,SIM20260815000001,13,8,39,cancelled,1.60,,,,2026-08-15 19:03:50,,,0,0.00,0.00,,2026-08-15 19:03:50,2026-08-15 19:03:50,OK
2,SIM20260815000002,2,4,18,pending_payment,1.50,37.73,60,95.95,2026-08-15 21:21:08,2026-08-15 21:36:08,2026-08-16 03:01:34,19526,34.93,52.40,,2026-08-15 21:21:08,2026-08-16 03:01:34,OK
3,SIM20260815000003,7,9,44,settled,1.30,33.70,60,97.95,2026-08-15 07:09:23,2026-08-15 07:29:23,2026-08-15 07:50:20,1257,38.55,50.12,PAYSIM20260815000003,2026-08-15 07:09:23,2026-08-15 07:50:20,OK
4,SIM20260815000004,11,3,13,pending_payment,1.30,49.71,40,89.93,2026-08-15 13:50:59,2026-08-15 13:57:59,2026-08-15 14:06:43,524,16.09,20.92,,2026-08-15 13:50:59,2026-08-15 14:06:43,OK
5,SIM20260815000005,5,17,90,settled,1.30,45.31,50,89.54,2026-08-15 21:22:49,2026-08-15 21:35:49,2026-08-15 21:47:50,721,22.12,28.76,PAYSIM20260815000005,2026-08-15 21:22:49,2026-08-15 21:47:50,OK
6,SIM20260815000006,17,6,26,settled,1.30,39.21,80,93.54,2026-08-15 12:32:50,2026-08-15 12:57:50,2026-08-15 13:13:34,944,43.46,56.50,PAYSIM20260815000006,2026-08-15 12:32:50,2026-08-15 13:13:34,OK
7,SIM20260815000007,1,50,278,settled,1.50,43.64,60,96.17,2026-08-15 18:49:46,2026-08-15 18:51:46,2026-08-15 19:03:11,685,31.52,47.28,PAYSIM20260815000007,2026-08-15 18:49:46,2026-08-15 19:03:11,OK
8,SIM20260815000008,21,28,152,pending_payment,1.30,20.73,40,94.95,2026-08-15 16:19:07,2026-08-15 16:24:07,2026-08-15 16:34:52,645,29.69,38.60,,2026-08-15 16:19:07,2026-08-15 16:34:52,OK
9,SIM20260815000009,4,55,306,settled,1.50,13.76,60,87.64,2026-08-15 11:59:17,2026-08-15 12:08:17,2026-08-15 12:32:22,1445,44.33,66.50,PAYSIM20260815000009,2026-08-15 11:59:17,2026-08-15 12:32:22,OK
10,SIM20260815000010,18,13,61,settled,1.50,11.07,80,91.65,2026-08-15 14:09:24,2026-08-15 14:25:24,2026-08-15 14:48:45,1401,64.46,96.69,PAYSIM20260815000010,2026-08-15 14:09:24,2026-08-15 14:48:45,OK
11,SIM20260815000011,21,40,218,reserved,1.50,,,,2026-08-15 19:19:23,,,0,0.00,0.00,,2026-08-15 19:19:23,2026-08-15 19:19:23,OK
12,SIM20260815000012,18,53,294,settled,1.30,38.95,70,96.43,2026-08-15 14:14:57,2026-08-15 14:21:57,2026-08-15 14:36:31,874,40.24,52.31,PAYSIM20260815000012,2026-08-15 14:14:57,2026-08-15 14:36:31,OK
13,SIM20260815000013,9,69,380,settled,1.40,16.23,40,100.00,2026-08-15 13:10:27,2026-08-15 13:29:27,2026-08-15 13:41:35,728,33.51,46.91,PAYSIM20260815000013,2026-08-15 13:10:27,2026-08-15 13:41:35,OK
14,SIM20260815000014,12,28,154,settled,1.30,57.97,60,98.21,2026-08-15 22:06:47,2026-08-15 22:25:47,2026-08-15 22:38:54,787,24.14,31.38,PAYSIM20260815000014,2026-08-15 22:06:47,2026-08-15 22:38:54,OK
15,SIM20260815000015,10,12,58,settled,1.30,24.30,70,99.84,2026-08-15 11:09:50,2026-08-15 11:22:50,2026-08-15 11:41:59,1149,52.88,68.74,PAYSIM20260815000015,2026-08-15 11:09:50,2026-08-15 11:41:59,OK
